iter	Passed	Remaining
746	8078	2736
747	8087	2724
748	8098	2713
749	8107	2702
750	8118	2691
751	8130	2681
752	8140	2670
753	8151	2659
754	8161	2648
755	8172	2637
756	8184	2627
757	8193	2616
758	8204	2604
759	8213	2593
760	8225	2583
761	8235	2572
762	8247	2561
763	8258	2550
764	8269	2540
765	8286	2531
766	8299	2521
767	8311	2510
768	8322	2499
769	8332	2488
770	8345	2478
771	8356	2467
772	8367	2457
773	8378	2446
774	8389	2435
775	8398	2424
776	8406	2412
777	8416	2401
778	8426	2390
779	8436	2379
780	8447	2368
781	8457	2357
782	8466	2346
783	8475	2335
784	8488	2324
785	8497	2313
786	8507	2302
787	8517	2291
788	8528	2280
789	8538	2269
790	8547	2258
791	8557	2247
792	8568	2236
793	8578	2225
794	8589	2214
795	8600	2204
796	8609	2192
797	8620	2182
798	8633	2171
799	8642	2160
800	8652	2149
801	8662	2138
802	8674	2128
803	8684	2117
804	8696	2106
805	8706	2095
806	8716	2084
807	8727	2073
808	8736	2062
809	8746	2051
810	8756	2040
811	8766	2029
812	8779	2019
813	8789	2008
814	8798	1997
815	8807	1986
816	8819	1975
817	8830	1964
818	8841	1953
819	8852	1943
820	8862	1932
821	8872	1921
822	8882	1910
823	8893	1899
824	8903	1888
825	8914	1877
826	8927	1867
827	8937	1856
828	8949	1845
829	8959	1835
830	8969	1824
831	8978	1813
832	8988	1801
833	8998	1791
834	9009	1780
835	9020	1769
836	9030	1758
837	9040	1747
838	9048	1736
839	9060	1725
840	9072	1715
841	9083	1704
842	9093	1693
843	9102	1682
844	9112	1671
845	9123	1660
846	9132	1649
847	9143	1638
848	9154	1628
849	9165	1617
850	9175	1606
851	9185	1595
852	9196	1584
853	9205	1573
854	9217	1563
855	9226	1552
856	9238	1541
857	9251	1531
858	9262	1520
859	9274	1509
860	9286	1499
861	9296	1488
862	9306	1477
863	9316	1466
864	9327	1455
865	9337	1444
866	9345	1433
867	9355	1422
868	9368	1412
869	9377	1401
870	9387	1390
871	9397	1379
872	9406	1368
873	9417	1357
874	9427	1346
875	9437	1335
876	9447	1324
877	9456	1314
878	9466	1303
879	9476	1292
880	9488	1281
881	9498	1270
882	9510	1260
883	9520	1249
884	9530	1238
885	9540	1227
886	9551	1216
887	9561	1205
888	9572	1195
889	9582	1184
890	9591	1173
891	9601	1162
892	9611	1151
893	9620	1140
894	9630	1129
895	9641	1119
896	9653	1108
897	9663	1097
898	9674	1086
899	9684	1076
900	9694	1065
901	9705	1054
902	9714	1043
903	9724	1032
904	9734	1021
905	9745	1011
906	9754	1000
907	9763	989
908	9773	978
909	9782	967
910	9794	956
911	9806	946
912	9816	935
913	9827	924
914	9837	913
915	9846	902
916	9857	892
917	9866	881
918	9877	870
919	9887	859
920	9898	849
921	9908	838
922	9918	827
923	9929	816
924	9942	806
925	9951	795
926	9960	784
927	9969	773
928	9978	762
929	9989	751
930	9997	740
931	10007	730
932	10018	719
933	10028	708
934	10038	697
935	10046	686
